aisle,aisleid,item,price
"Refrigerated Foods",7,"Pork Tenderloin, small",7.4
"Refrigerated Foods",7,"Ribs, Baby Back (pork, unseasoned)",7.78
"Refrigerated Foods",7,"Ribs, Spare Back (pork, unseasoned)",9.2
"Refrigerated Foods",7,"Salami, sliced",3.39
"Refrigerated Foods",7,"Salami, whole",0.99
"Refrigerated Foods",7,"Sour Cream",1.67
"Refrigerated Foods",7,"Yoghurt, Dannon (etc.)",7.1
"Refrigerated Foods",7,"Yogurt, Fage, 2%, plain",4.27
"Refrigerated Foods",7,"Yogurt, Fage, w/ flavor",1.76
"Refrigerated Foods",7,"Yogurt, flavored, cup",4.65
"Refrigerated Foods",7,"Yogurt, greek style, plain",9.17
"Refrigerated Foods",7,"Yogurt, plain",0.73
